id,Nombre,Apellido,team_id,Posicion,Precio,Puntos Totales,tendencia,status,news,chance_of_playing_next_round,form,opponent_x,is_home_x,difficulty_x,valor,full_name,fpl_id,csv_form,combined_form,opponent_y,is_home_y,difficulty_y,team_name,difficulty,volatilidad,rendimiento_ajustado
1,David,Raya Martín,1,Goalkeeper,59,53,0,a,,,5.2,18,True,1175,0.4406779661016949,David Raya Martín,1.0,0.0,2.6,18,True,1175,Arsenal,0,2.213594362117865,1.1745602737768268
2,Kepa,Arrizabalaga Revuelta,1,Goalkeeper,42,0,0,a,,,0.0,18,True,1175,0.0,Kepa Arrizabalaga Revuelta,2.0,0.0,0.0,18,True,1175,Arsenal,0,0.31622776601683794,0.0
4,Tommy,Setford,1,Goalkeeper,40,0,0,a,,,0.0,18,True,1175,0.0,Tommy Setford,,0.0,0.0,18,True,1175,Arsenal,0,0.31622776601683794,0.0
6,William,Saliba,1,Defender,60,39,0,a,,100.0,4.0,18,True,1175,0.3333333333333333,William Saliba,6.0,0.0,2.0,18,True,1175,Arsenal,0,2.6246692913372702,0.7620007620011431
8,Jurriën,Timber,1,Defender,62,67,1,a,,,6.2,18,True,1175,0.5,Jurriën Timber,8.0,0.0,3.1,18,True,1175,Arsenal,0,6.912950809089334,0.448433684198076
10,Myles,Lewis-Skelly,1,Defender,51,6,-1,a,,,0.8,18,True,1175,0.0784313725490196,Myles Lewis-Skelly,10.0,0.0,0.4,18,True,1175,Arsenal,0,0.5163977794943222,0.7745966692414835
11,Benjamin,White,1,Defender,53,6,0,a,,100.0,0.0,18,True,1175,0.0,Benjamin White,11.0,0.0,0.0,18,True,1175,Arsenal,0,0.31622776601683794,0.0
13,Brayden,Clarke,1,Defender,38,0,-1,a,,,0.0,18,True,1175,0.0,Brayden Clarke,,0.0,0.0,18,True,1175,Arsenal,0,0.31622776601683794,0.0
15,Josh,Nichols,1,Defender,39,0,0,a,,,0.0,18,True,1175,0.0,Josh Nichols,,0.0,0.0,18,True,1175,Arsenal,0,0.31622776601683794,0.0
16,Bukayo,Saka,1,Midfielder,101,45,0,a,,100.0,4.6,18,True,1175,0.2277227722772277,Bukayo Saka,16.0,0.0,2.3,18,True,1175,Arsenal,0,3.9384147967311813,0.5839913058190218
20,Leandro,Trossard,1,Midfielder,69,40,0,a,,100.0,4.8,18,True,1175,0.3478260869565217,Leandro Trossard,20.0,0.0,2.4,18,True,1175,Arsenal,0,3.3333333333333335,0.72
21,Declan,Rice,1,Midfielder,69,65,1,a,,100.0,8.6,18,True,1175,0.6231884057971014,Declan Rice,21.0,0.0,4.3,18,True,1175,Arsenal,0,4.04007700696685,1.064336148193445
22,Mikel,Merino Zazón,1,Midfielder,59,23,0,a,,,2.0,18,True,1175,0.1694915254237288,Mikel Merino Zazón,22.0,0.0,1.0,18,True,1175,Arsenal,0,1.9888578520235065,0.5028011423654931
24,Christian,Nørgaard,1,Midfielder,52,2,0,a,,100.0,0.4,18,True,1175,0.0384615384615384,Christian Nørgaard,24.0,0.0,0.2,18,True,1175,Arsenal,0,0.4216370213557839,0.47434164902525694
25,Ethan,Nwaneri,1,Midfielder,51,7,-1,a,,,0.4,18,True,1175,0.0392156862745098,Ethan Nwaneri,25.0,0.0,0.2,18,True,1175,Arsenal,0,0.9486832980505138,0.21081851067789198
