player_id,game_id,type,subType
466,1821049,1,1
440,1821050,1,1
381,1821050,1,1
157,1821054,1,1
178,1821054,1,1
543,1821054,1,1
474,1821055,2,3
490,1821055,1,1
525,1821056,1,1
82,1821056,1,1
30,1821052,1,1
16,1821052,1,1
59,1821057,1,1
665,1821057,1,2
119,1821058,1,1
111,1821058,1,3
135,1821058,1,1
430,1821051,1,1
364,1821051,1,1
568,1821053,1,1
239,1821053,1,1
178,1821061,1,1
452,1821061,1,1
249,1821061,1,1
587,1821067,1,1
579,1821067,1,1
569,1821067,1,1
579,1821067,1,1
137,1821066,1,1
430,1821065,1,2
430,1821065,1,1
430,1821065,1,1
73,1821063,1,1
324,1821063,1,1
613,1821062,1,1
624,1821062,1,1
20,1821060,1,1
251,1821068,1,1
450,1821068,1,1
235,1821068,1,1
18,1821068,1,1
654,1821068,1,1
18,1821068,1,1
18,1821068,1,1
84,1821059,1,1
485,1821059,1,1
383,1821064,1,1
381,1821064,1,1
30,1821069,1,1
21,1821069,2,2
249,1821069,1,1
110,1821074,1,1
94,1821074,1,1
82,1821074,1,1
88,1821074,1,1
91,1821074,1,1
250,1821075,1,1
326,1821075,1,1
59,1821076,1,1
168,1821076,1,1
525,1821077,1,1
644,1821077,1,1
119,1821071,1,1
119,1821071,1,1
135,1821071,1,1
430,1821078,1,1
408,1821078,1,3
430,1821078,1,1
430,1821078,1,1
251,1821073,1,1
266,1821073,1,1
487,1821072,1,1
476,1821072,1,3
499,1821072,1,1
383,1821070,1,1
383,1821070,1,1
381,1821070,1,1
238,1821081,1,1
451,1821081,1,1
453,1821081,1,1
239,1821084,1,1
283,1821084,1,1
283,1821084,1,2
713,1821087,1,1
306,1821088,1,1
135,1821085,1,1
430,1821085,1,1
430,1821085,1,1
300,1821079,1,1
94,1821079,1,1
64,1821079,1,1
64,1821079,1,1
240,1821080,1,1
5,1821083,1,1
474,1821086,1,1
487,1821086,1,1
251,1821098,1,1
251,1821098,1,1
235,1821098,1,1
119,1821090,1,1
596,1821090,1,1
580,1821090,1,1
581,1821090,1,1
707,1821097,1,1
