element,fixture,total_points
345319,1821168,5
322611,1821168,5
136824,1821168,5
403649,1821168,5
377168,1821168,5
379688,1821176,5
379688,1821176,5
447231,1821176,5
422885,1821176,0
141486,1821172,5
141486,1821172,5
331382,1821172,5
238940,1821182,5
296240,1821182,5
373525,1821184,0
318750,1821184,5
373525,1821184,0
368312,1821184,5
332403,1821187,5
395401,1821187,5
73084,1821187,5
394749,1821187,5
93894,1821187,5
425576,1821187,5
468847,1821187,5
116317,1821120,5
148503,1821123,5
351354,1821123,5
318449,1821123,5
417747,1821185,5
349484,1821185,5
299271,1821185,0
346300,1821185,5
377168,1821186,5
115726,1821186,0
95408,1821186,5
343501,1821188,5
437022,1821188,5
331382,1821188,5
331382,1821188,5
338780,1821188,5
355401,1821126,5
362219,1821126,0
422885,1821126,5
333048,1821126,5
317804,1821126,5
362758,1821126,5
357073,1821180,5
141486,1821119,5
374631,1821119,0
331382,1821119,5
82726,1821119,5
299254,1821119,5
148503,1821329,5
82726,1821329,5
384134,1821329,5
82277,1821329,0
400815,1821329,5
353377,1821334,5
353377,1821334,5
39308,1821334,5
296240,1821334,5
373525,1821334,-1
425142,1821334,5
101856,1821334,5
395401,1821337,-1
468847,1821340,5
93894,1821340,5
322596,1821356,5
404616,1821356,5
136824,1821343,5
523597,1821343,5
337916,1821343,5
113994,1821346,5
380706,1821346,5
366211,1821346,-1
113994,1821346,5
456771,1821346,5
318871,1821350,5
94868,1821352,5
402596,1821354,5
73380,1821354,5
317804,1821354,5
136741,1821368,5
300299,1821368,0
394933,1821368,5
424462,1821360,5
332403,1821360,5
113994,1821360,5
328096,1821360,5
470690,1821362,5
400166,1821362,5
143595,1821362,5
425142,1821362,5
436048,1821362,5
426050,1821364,5
349484,1821371,-1
299254,1821371,0
82277,1821371,5
416209,1821371,5
92550,1821374,5
363686,1821374,5
322611,1821374,5
362758,1821377,5
333048,1821377,5
402823,1821377,5
357073,1821358,5
384430,1821358,-1
439584,1821358,5
136459,1821366,5
377168,1821366,5
345319,1821366,5
352825,1821366,5
108226,1821366,5
401044,1821366,0
407260,1821372,5
296240,1821372,5
73084,1821330,5
332325,1821379,5
468852,1821379,5
384430,1821379,5
136345,1821381,5
380546,1821387,5
357427,1821387,5
417747,1821387,5
317547,1821387,5
106981,1821388,5
67491,1821388,5
343346,1821383,5
118244,1821383,0
407260,1821383,5
407260,1821383,5
296240,1821383,5
437022,1821383,5
386634,1821383,5
484175,1821335,5
299254,1821335,0
369430,1821385,5
430019,1821385,0
95408,1821385,5
395692,1821385,0
444751,1821332,5
322596,1821332,5
332403,1821386,0
445424,1821386,5
148503,1821338,5
369813,1821338,-1
108186,1821341,5
345516,1821341,5
107941,1821341,5
380546,1821341,5
407260,1821344,5
39308,1821359,0
471784,1821359,5
352825,1821347,5
377168,1821347,5
380706,1821347,5
238916,1821347,5
238916,1821347,-1
143595,1821349,5
322596,1821349,5
343501,1821351,5
426050,1821351,-1
338780,1821351,5
97710,1821353,5
332867,1821353,5
73380,1821353,5
432384,1821353,5
332403,1821357,5
332403,1821357,5
301440,1821363,5
331790,1821363,5
363496,1821369,5
332325,1821361,5
108186,1821365,5
353377,1821365,5
296240,1821365,5
79583,1821365,5
333044,1821365,5
366116,1821373,5
366116,1821373,5
106981,1821375,5
429531,1821375,5
332867,1821378,5
319785,1821378,5
322596,1821378,5
363982,1821367,5
