player_id,player_name,season_name,start_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,yellow_cards,red_cards
245,Mykhailo Mudryk,2023/24,65,94,1564,5,5,7,28,5,5,0
245,Mykhailo Mudryk,2024/25,65,7,145,0,0,0,2,0,0,0
246,Andrey Nascimento dos Santos,2023/24,45,1,7,0,0,0,0,0,0,0
246,Andrey Nascimento dos Santos,2024/25,45,0,0,0,0,0,0,0,0,0
249,João Pedro Junqueira de Jesus,2023/24,55,104,2037,9,3,5,38,12,2,0
249,João Pedro Junqueira de Jesus,2024/25,55,126,1946,10,6,6,28,26,4,1
250,Liam Delap,2022/23,45,0,0,0,0,0,0,0,0,0
250,Liam Delap,2024/25,55,132,2587,12,2,3,58,22,12,0
251,Nicolas Jackson,2023/24,70,142,2801,14,6,9,48,12,10,0
251,Nicolas Jackson,2024/25,75,121,2220,10,6,11,24,17,7,1
252,Marc Guiu Paz,2024/25,50,3,71,0,0,0,2,0,0,0
453,Alejandro Garnacho Ferreyra,2023/24,50,131,2564,7,7,8,39,7,4,0
453,Alejandro Garnacho Ferreyra,2024/25,65,106,2188,6,4,5,36,7,3,0
253,Dean Henderson,2023/24,45,48,1620,0,0,4,30,2,2,0
253,Dean Henderson,2024/25,45,135,3420,0,0,11,51,8,3,0
255,Remi Matthews,2023/24,40,1,3,0,0,0,1,0,0,0
