player_id,player_name,season_name,start_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,yellow_cards,red_cards
63,Kadan Young,2024/25,45,0,0,0,0,0,0,0,0,0
64,Ollie Watkins,2023/24,80,228,3222,19,18,7,56,29,4,0
64,Ollie Watkins,2024/25,90,186,2593,16,8,10,40,32,2,0
389,Harvey Elliott,2023/24,50,96,1330,3,9,4,13,8,2,0
389,Harvey Elliott,2024/25,55,33,359,1,2,0,6,3,1,0
456,Jadon Sancho,2023/24,70,3,76,0,0,0,1,0,0,0
456,Jadon Sancho,2024/25,65,86,1754,3,5,7,24,3,2,0
688,James Wright,2022/23,40,0,0,0,0,0,0,0,0,0
688,James Wright,2023/24,40,0,0,0,0,0,0,0,0,0
703,Sam Proctor,2023/24,40,0,0,0,0,0,0,0,0,0
710,Travis Patterson,2022/23,45,0,0,0,0,0,0,0,0,0
719,Victor Lindelöf,2023/24,45,62,1328,1,1,5,16,7,2,0
719,Victor Lindelöf,2024/25,45,27,695,0,0,2,9,0,1,0
186,Connor Roberts,2021/22,45,69,1689,1,1,6,23,6,2,0
186,Connor Roberts,2023/24,45,12,817,0,1,0,23,0,3,1
187,Kyle Walker,2023/24,50,123,2766,0,5,10,29,13,2,0
187,Kyle Walker,2024/25,55,13,966,0,0,0,21,0,3,0
188,Hannes Delcroix,2023/24,40,7,584,0,0,0,25,0,2,0
189,Owen Dodgson,2021/22,40,0,0,0,0,0,0,0,0,0
189,Owen Dodgson,2023/24,40,0,0,0,0,0,0,0,0,0
190,Hjalmar Ekdal,2023/24,40,15,436,0,0,1,8,3,2,0
191,Maxime Estève,2023/24,40,15,1310,0,0,0,28,0,6,0
193,Bashir Humphreys,2022/23,45,0,0,0,0,0,0,0,0,0
193,Bashir Humphreys,2023/24,40,0,0,0,0,0,0,0,0,0
194,Jordan Beyer,2023/24,40,30,1234,0,1,2,23,4,6,0
198,Axel Tuanzebe,2021/22,45,14,505,0,0,1,10,0,1,0
198,Axel Tuanzebe,2024/25,40,27,1710,0,1,1,38,0,3,1
199,Joe Worrall,2023/24,45,13,438,0,0,1,9,3,0,1
199,Joe Worrall,2024/25,45,0,0,0,0,0,0,0,0,0
200,Jaidon Anthony,2023/24,50,3,151,0,0,0,5,0,1,0
200,Jaidon Anthony,2024/25,45,0,0,0,0,0,0,0,0,0
201,Manuel Benson Hedilazio,2023/24,55,8,110,0,0,0,5,0,0,0
202,Jacob Bruun Larsen,2023/24,50,82,1235,6,0,3,23,7,1,0
203,Enock Agyei,2023/24,45,0,0,0,0,0,0,0,0,0
204,Darko Churlinov,2023/24,45,0,0,0,0,0,0,0,0,0
205,Josh Cullen,2017/18,45,2,6,0,0,0,0,0,0,0
205,Josh Cullen,2023/24,50,65,2055,2,4,0,48,5,9,0
207,Hannibal Mejbri,2023/24,45,11,131,1,0,1,1,0,1,0
207,Hannibal Mejbri,2024/25,45,0,0,0,0,0,0,0,0,0
208,Luca Koleosho,2023/24,50,40,972,1,2,3,23,0,0,0
211,Aaron Ramsey,2021/22,45,0,0,0,0,0,0,0,0,0
211,Aaron Ramsey,2023/24,50,18,522,0,0,0,17,0,1,0
214,Mike Trésor Ndayishimiye,2023/24,55,20,410,0,0,0,10,0,0,0
216,Zeki Amdouni,2023/24,55,85,1953,5,1,5,41,11,2,0
217,Lyle Foster,2023/24,50,75,1898,5,3,2,43,4,0,1
218,Ashley Barnes,2020/21,60,52,1324,3,0,6,19,7,4,0
218,Ashley Barnes,2021/22,55,32,793,1,0,1,19,2,4,0
219,Michael Obafemi,2021/22,45,0,0,0,0,0,0,0,0,0
219,Michael Obafemi,2023/24,50,2,19,0,0,0,0,0,0,0
470,Martin Dúbravka,2023/24,40,75,1984,0,0,4,42,3,1,0
470,Martin Dúbravka,2024/25,45,44,900,0,0,5,12,2,0,0
676,Lesley Ugochukwu,2023/24,45,13,296,0,0,1,6,0,2,0
676,Lesley Ugochukwu,2024/25,45,47,1652,1,1,1,39,3,7,0
680,Armando Broja,2023/24,50,35,529,1,2,3,9,0,0,0
680,Armando Broja,2024/25,55,12,327,0,0,2,2,0,1,0
66,Norberto Murara Neto,2023/24,45,110,2880,0,0,7,55,14,5,0
66,Norberto Murara Neto,2024/25,45,7,180,0,0,0,2,0,0,0
67,Đorđe Petrović,2023/24,45,71,1986,0,0,5,38,5,2,0
67,Đorđe Petrović,2024/25,45,0,0,0,0,0,0,0,0,0
68,Will Dennis,2022/23,40,0,0,0,0,0,0,0,0,0
68,Will Dennis,2024/25,40,0,0,0,0,0,0,0,0,0
69,Callan McKenna,2023/24,40,0,0,0,0,0,0,0,0,0
69,Callan McKenna,2024/25,40,0,0,0,0,0,0,0,0,0
70,Alex Paulsen,2024/25,40,0,0,0,0,0,0,0,0,0
71,Illia Zabarnyi,2023/24,45,84,3330,1,0,8,67,3,5,0
71,Illia Zabarnyi,2024/25,45,94,3109,0,1,8,42,8,4,1
72,Marcos Senesi Barón,2023/24,45,102,2239,4,5,6,44,13,13,0
72,Marcos Senesi Barón,2024/25,50,31,1103,0,0,2,17,3,5,0
73,Adam Smith,2023/24,45,80,2148,0,3,8,33,4,6,0
73,Adam Smith,2024/25,45,57,1586,0,0,6,18,0,7,0
75,Matai Akinmboni,2024/25,40,0,0,0,0,0,0,0,0,0
76,Owen Bevan,2022/23,40,1,8,0,0,0,1,0,0,0
77,James Hill,2023/24,40,5,74,0,0,0,1,0,0,0
77,James Hill,2024/25,40,17,443,0,1,1,9,0,1,0
78,Julián Araujo Zúñiga,2024/25,45,12,492,0,0,0,10,0,2,0
79,Chris Mepham,2023/24,45,16,613,0,1,1,16,0,2,0
79,Chris Mepham,2024/25,45,0,0,0,0,0,0,0,0,0
80,Julio Soler Barreto,2024/25,40,3,9,0,0,0,1,0,0,0
81,Justin Kluivert,2023/24,50,100,1910,7,1,11,23,2,5,0
81,Justin Kluivert,2024/25,55,158,2339,12,6,13,29,14,8,0
82,Antoine Semenyo,2023/24,45,107,2099,8,4,8,33,14,6,0
82,Antoine Semenyo,2024/25,55,165,3202,11,7,11,41,14,9,0
84,Marcus Tavernier,2023/24,55,89,2118,3,4,8,38,5,3,0
84,Marcus Tavernier,2024/25,55,87,1932,3,7,4,29,4,6,0
85,Tyler Adams,2023/24,50,5,118,0,0,0,3,1,0,0
85,Tyler Adams,2024/25,50,58,1959,0,3,6,30,1,7,0
86,David Brooks,2023/24,50,23,271,1,1,0,7,2,1,0
86,David Brooks,2024/25,50,52,941,2,1,3,12,2,3,0
87,Ryan Christie,2023/24,50,90,2908,0,5,8,56,5,6,0
87,Ryan Christie,2024/25,50,76,2114,2,3,8,28,5,9,0
88,Lewis Cook,2023/24,50,77,2787,0,3,8,51,5,5,1
88,Lewis Cook,2024/25,50,82,2976,1,4,5,44,3,8,1
89,Philip Billing,2023/24,55,60,1385,2,3,2,36,3,3,1
89,Philip Billing,2024/25,50,10,176,0,0,0,4,0,1,0
90,Alex Scott,2023/24,50,41,1003,1,1,3,25,3,3,0
90,Alex Scott,2024/25,50,26,745,0,0,3,8,0,3,0
91,Luis Sinisterra Lucumí,2023/24,55,43,685,2,2,1,18,2,0,0
91,Luis Sinisterra Lucumí,2024/25,50,23,229,1,1,0,4,2,0,0
92,Romain Faivre,2023/24,50,4,37,0,0,0,1,0,1,0
92,Romain Faivre,2024/25,50,0,0,0,0,0,0,0,0,0
93,Hamed Traorè,2023/24,50,3,44,0,0,0,1,0,0,0
93,Hamed Traorè,2024/25,45,0,0,0,0,0,0,0,0,0
94,Dominic Sadi,2023/24,45,1,1,0,0,0,0,0,0,0
94,Dominic Sadi,2024/25,45,0,0,0,0,0,0,0,0,0
95,Zain Silcott-Duberry,2024/25,45,1,1,0,0,0,0,0,0,0
96,Ben Winterburn,2024/25,45,4,22,0,0,0,0,0,0,0
97,Francisco Evanilson de Lima Barbosa,2024/25,60,128,2317,10,5,11,30,20,1,1
98,Enes Ünal,2023/24,50,40,317,2,4,1,9,3,1,0
98,Enes Ünal,2024/25,55,32,330,2,1,2,3,4,2,0
99,Daniel Adu-Adjei,2022/23,45,0,0,0,0,0,0,0,0,0
99,Daniel Adu-Adjei,2024/25,45,0,0,0,0,0,0,0,0,0
391,Ben Gannon-Doak,2023/24,45,1,13,0,0,0,0,0,0,0
391,Ben Gannon-Doak,2024/25,45,0,0,0,0,0,0,0,0,0
687,Remy Rees-Dottin,2024/25,45,1,1,0,0,0,0,0,0,0
27,Reiss Nelson,2023/24,50,16,256,0,0,1,1,0,1,0
27,Reiss Nelson,2024/25,50,27,483,1,1,1,9,2,1,0
83,Dango Ouattara,2023/24,50,56,1214,1,2,5,24,3,3,0
