fpl_name,csv_name,fpl_id,csv_id
Jamie Bynoe-Gittens,Jamie Gittens,239,436425
Moisés Caicedo Corozo,Moisés Caicedo,241,410175
Tyrique George,Tyrique George,243,523597
Andrey Nascimento dos Santos,André,246,397585
João Pedro Junqueira de Jesus,João Pedro,249,373525
Liam Delap,Liam Delap,250,401254
Marc Guiu Paz,Marc Guiu,252,483208
Alejandro Garnacho Ferreyra,Alejandro Garnacho,453,437022
Jorrel Hato,Jorrel Hato,672,467715
Dean Henderson,Dean Henderson,253,304008
Daniel Muñoz Mejía,Daniel Muñoz,256,400496
Maxence Lacroix,Maxence Lacroix,257,401130
Tyrick Mitchell,Tyrick Mitchell,258,389579
Borna Sosa,Borna Sosa,259,270829
Chris Richards,Chris Richards,261,395401
Nathaniel Clyne,Nathaniel Clyne,263,69375
Ismaïla Sarr,Ismaïla Sarr,267,322670
Romain Esse,Romain Esse,269,469485
Will Hughes,Will Hughes,270,108638
Daichi Kamada,Daichi Kamada,271,344166
Jefferson Lerma Solís,Jefferson Lerma,272,133464
Adam Wharton,Adam Wharton,273,430774
Justin Devenny,Justin Devenny,276,450950
Jean-Philippe Mateta,Jean-Philippe Mateta,283,328096
Yéremy Pino Santos,Yéremy Pino,712,403865
Jaydee Canvot,Jaydee Canvot,723,531676
Christantus Uche,Christantus Uche,732,531674
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,242,391256
Jordan Pickford,Jordan Pickford,287,110189
Mark Travers,Mark Travers,288,362806
James Tarkowski,James Tarkowski,291,131464
Vitalii Mykolenko,Vitalii Mykolenko,292,345516
Jake O'Brien,Jake O'Brien,293,424495
Séamus Coleman,Séamus Coleman,294,31826
Michael Keane,Michael Keane,295,107941
Iliman Ndiaye,Iliman Ndiaye,299,366116
Dwight McNeil,Dwight McNeil,300,357427
Carlos Alcaraz Durán,Carlos Forbs,301,468850
Idrissa Gana Gueye,Idrissa Gueye,302,80464
James Garner,James Garner,303,367781
Tim Iroegbunam,Tim Iroegbunam,304,416208
Callum Bates,Callum Hudson-Odoi,306,350088
Thierno Barry,Thierno Barry,310,537713
Norberto Bercique Gomes Betuncal,João Gomes,311,403693
Jack Grealish,Jack Grealish,419,113069
Tom King,Tom King,630,243164
Tyler Dibling,Tyler Dibling,707,438067
Merlin Röhl,Merlin Röhl,728,419945
Bernd Leno,Bernd Leno,314,92173
Joachim Andersen,Joachim Andersen,317,231135
Calvin Bassey,Calvin Bassey,318,396976
Timothy Castagne,Timothy Castagne,319,141169
