jugador_id,nombre_jugador
437299,Leny Yoro
363982,Harvey Elliott
424945,Conor Bradley
383956,Joshua Zirkzee
334653,Nicolás Domínguez
78386,Matz Sels
350088,Callum Hudson-Odoi
532920,Pedro Lima
73380,Chris Wood
386969,Neco Williams
247995,Gonçalo Guedes
445424,Murillo
319785,Nikola Milenkovic
444241,Santiago Bueno
413211,Anthony Elanga
402596,Elliot Anderson
332867,Morgan Gibbs-White
403693,João Gomes
262854,Hwang Hee-Chan
402823,Rodrigo Gomes
122714,José Sá
94042,Matt Doherty
355401,Rayan Aït-Nouri
315543,Ola Aina
386856,Tommy Doyle
333048,Jørgen Strand Larsen
123481,Mario Lemina
320242,Jean-Ricner Bellegarde
376916,Morato
444826,Jota Silva
342830,Ryan Yates
94868,Pablo Sarabia
468850,Carlos Forbs
281049,Taiwo Awoniyi
105172,James Ward-Prowse
394933,Matheus Nunes
229562,Rico Henry
425319,Roméo Lavia
361330,Reece James
136464,Tosin Adarabioyo
362431,João Félix
415163,Daniel Jebbison
369875,Dominik Szoboszlai
301455,Kostas Tsimikas
135374,Álex Moreno
20973,Lukasz Fabianski
303876,Guido Rodríguez
313542,Carlos Soler
101955,Emerson
451945,Andy Irving
68049,Aaron Cresswell
459708,Ollie Scarles
515865,Josh King
457006,Antonín Kinsky
97692,Raheem Sterling
326413,Kai Havertz
297403,Kieran Tierney
317804,Richarlison
400815,Amadou Onana
362824,Morgan Rogers
317896,Jack Harrison
424495,Jake O'Brien
416970,Victor Kristiansen
108638,Will Hughes
364215,Oliver Skipp
429531,Kasey McAteer
450950,Justin Devenny
69375,Nathaniel Clyne
402810,Emmanuel Agbadou
397585,André
362758,Matheus Cunha
296363,Nélson Semedo
303924,Miguel Almirón
416209,William Osula
474264,Lewis Miley
83078,Kieran Trippier
430908,Omari Hutchinson
86441,Lewis Dunk
39308,Danny Welbeck
317547,George Hirst
399378,Jakub Moder
447231,Mateus Fernandes
364315,Antony
491384,Toby Collyer
390036,Will Smallbone
337428,Flynn Downes
69344,Christian Eriksen
408946,Lamare Bogarde
433517,Jhon Durán
322971,Federico Chiesa
321020,Sander Berge
113880,Kepa Arrizabalaga
82726,Fabian Schär
547069,Ben Winterburn
549379,Remy Rees-Dottin
463054,Lewis Orford
91822,Jeffrey Schlupp
