id,kickoff_time,team_h,team_a,team_h_score,team_a_score
1821144,2025-04-03T20:00:00,15,30,1,0
1821160,2025-04-05T17:30:00,24,174,2,1
1821164,2025-04-05T15:00:00,162,211,2,1
1821166,2025-04-05T12:30:00,31,13,1,1
1821170,2025-04-05T15:00:00,165,161,1,2
1821178,2025-04-05T15:00:00,29,183,2,2
1821162,2025-04-06T14:00:00,189,15,0,0
1821168,2025-04-06T14:00:00,170,26,3,2
1821174,2025-04-06T16:30:00,32,167,0,0
1821176,2025-04-06T14:00:00,30,18,3,1
1821172,2025-04-07T20:00:00,14,23,0,3
1821182,2025-04-12T17:30:00,13,189,1,1
1821184,2025-04-12T15:00:00,211,14,2,2
1821187,2025-04-12T12:30:00,167,162,5,2
1821120,2025-04-12T15:00:00,174,31,0,1
1821123,2025-04-12T15:00:00,18,24,0,3
1821185,2025-04-13T14:00:00,15,165,2,2
1821186,2025-04-13T14:00:00,26,29,2,1
1821188,2025-04-13T16:30:00,23,32,4,1
1821126,2025-04-13T14:00:00,161,30,4,2
1821180,2025-04-14T20:00:00,183,170,1,0
1821119,2025-04-16T19:30:00,23,162,5,0
1821329,2025-04-19T17:30:00,24,23,4,1
1821334,2025-04-19T15:00:00,189,211,4,2
1821337,2025-04-19T15:00:00,162,183,0,0
1821340,2025-04-19T15:00:00,31,167,0,2
1821356,2025-04-19T15:00:00,29,18,1,1
1821343,2025-04-20T14:00:00,170,15,1,2
1821346,2025-04-20T14:00:00,165,13,0,4
1821350,2025-04-20T16:30:00,14,26,0,1
1821352,2025-04-20T14:00:00,32,161,0,1
1821354,2025-04-21T20:00:00,30,174,1,2
1821368,2025-04-22T20:00:00,167,24,2,1
1821360,2025-04-23T20:00:00,13,162,2,2
1821362,2025-04-26T15:00:00,211,29,3,2
1821364,2025-04-26T12:30:00,15,31,1,0
1821371,2025-04-26T15:00:00,23,165,3,0
1821374,2025-04-26T15:00:00,18,170,1,2
1821377,2025-04-26T15:00:00,161,14,3,0
1821358,2025-04-27T14:00:00,183,32,1,1
1821366,2025-04-27T16:30:00,26,30,5,1
1821372,2025-05-01T19:30:00,174,189,0,2
1821330,2025-05-02T20:00:00,167,161,1,0
1821379,2025-05-03T17:30:00,13,183,1,2
1821381,2025-05-03T12:30:00,24,170,1,0
1821387,2025-05-03T15:00:00,31,165,2,2
1821388,2025-05-03T15:00:00,14,18,2,0
1821383,2025-05-04T14:00:00,189,32,4,3
1821335,2025-05-04T14:00:00,211,23,1,1
1821385,2025-05-04T16:30:00,15,26,3,1
1821332,2025-05-04T14:00:00,29,30,1,1
1821386,2025-05-05T20:00:00,162,174,1,1
1821338,2025-05-10T17:30:00,183,24,0,1
1821341,2025-05-10T15:00:00,170,31,1,3
1821344,2025-05-10T15:00:00,165,189,0,1
1821355,2025-05-10T15:00:00,18,167,0,0
1821359,2025-05-10T15:00:00,161,211,0,2
1821347,2025-05-11T16:30:00,26,13,2,2
1821349,2025-05-11T14:15:00,32,29,0,2
1821351,2025-05-11T12:00:00,23,15,2,0
1821353,2025-05-11T14:15:00,174,14,2,2
1821357,2025-05-11T14:15:00,30,162,0,2
1821363,2025-05-16T19:30:00,24,30,2,0
1821369,2025-05-16T20:15:00,15,32,1,0
1821361,2025-05-18T16:30:00,13,23,1,0
1821365,2025-05-18T15:00:00,189,170,2,3
1821373,2025-05-18T12:00:00,31,18,2,0
1821375,2025-05-18T15:00:00,14,165,2,0
1821378,2025-05-18T14:15:00,29,174,1,2
1821367,2025-05-19T20:00:00,211,26,3,2
1821370,2025-05-20T20:00:00,162,161,4,2
1821376,2025-05-20T20:00:00,167,183,3,1
1821380,2025-05-25T16:00:00,183,14,2,0
1821382,2025-05-25T16:00:00,170,167,0,2
1821384,2025-05-25T16:00:00,165,29,1,3
