partido_id,competicion_id,fecha_inicio,estado,equipo_local_id,equipo_visitante_id,goles_local,goles_visitante,tiempo_transcurrido
1821420,23400,2025-02-15 12:30:00,6,4,2,0,2,FT
1821422,23400,2025-02-15 15:00:00,6,10,14,4,0,FT
1821423,23400,2025-02-15 15:00:00,6,12,5,1,3,FT
1821425,23400,2025-02-15 15:00:00,6,11,1,0,1,FT
1821421,23400,2025-02-16 14:00:00,6,17,19,2,1,FT
1821424,23400,2025-02-16 16:30:00,6,13,18,1,0,FT
1821173,23400,2025-02-19 19:30:00,6,3,17,2,2,FT
1821396,23400,2025-02-21 20:00:00,6,4,1,0,4,FT
1821427,23400,2025-02-22 15:00:00,6,2,11,0,1,FT
1821428,23400,2025-02-22 17:30:00,6,3,9,2,1,FT
1821426,23400,2025-02-22 15:00:00,6,5,19,0,1,FT
1821390,23400,2025-02-22 12:30:00,6,6,18,2,2,FT
1821392,23400,2025-02-22 15:00:00,6,15,8,0,2,FT
1821394,23400,2025-02-22 15:00:00,6,16,13,1,4,FT
1821402,23400,2025-02-22 15:00:00,6,12,7,0,4,FT
1821398,23400,2025-02-23 16:30:00,6,10,17,0,2,FT
1821400,23400,2025-02-23 14:00:00,6,14,20,4,3,FT
1821125,23400,2025-02-25 19:30:00,6,7,5,2,1,FT
1821138,23400,2025-02-25 20:15:00,6,9,12,4,0,FT
1821137,23400,2025-02-25 19:30:00,6,8,3,4,1,FT
1821134,23400,2025-02-25 19:30:00,6,19,15,1,2,FT
1821122,23400,2025-02-26 19:30:00,6,1,6,1,1,FT
1821142,23400,2025-02-26 20:15:00,6,17,14,2,0,FT
1821145,23400,2025-02-26 19:30:00,6,18,16,3,2,FT
1821128,23400,2025-02-26 19:30:00,6,20,2,0,0,FT
1821130,23400,2025-02-26 19:30:00,6,13,10,0,1,FT
1821132,23400,2025-02-27 20:00:00,6,11,4,2,0,FT
1821147,23400,2025-03-08 17:30:00,6,1,3,0,1,FT
1821150,23400,2025-03-08 15:00:00,6,7,15,2,1,FT
1821155,23400,2025-03-08 15:00:00,6,8,16,1,0,FT
1821157,23400,2025-03-08 15:00:00,6,17,12,3,1,FT
1821161,23400,2025-03-08 12:30:00,6,20,10,1,0,FT
1821167,23400,2025-03-08 20:00:00,6,19,6,1,1,FT
1821152,23400,2025-03-09 14:00:00,6,9,4,1,0,FT
1821159,23400,2025-03-09 16:30:00,6,18,2,1,1,FT
1821163,23400,2025-03-09 14:00:00,6,13,5,2,2,FT
1821165,23400,2025-03-10 20:00:00,6,11,14,0,1,FT
1821169,23400,2025-03-15 17:30:00,6,5,1,1,2,FT
1821175,23400,2025-03-15 15:00:00,6,6,11,1,1,FT
1821179,23400,2025-03-15 15:00:00,6,16,20,2,4,FT
1821183,23400,2025-03-15 15:00:00,6,10,7,2,2,FT
1821121,23400,2025-03-15 15:00:00,6,12,19,1,2,FT
1821171,23400,2025-03-16 13:30:00,6,2,9,1,0,FT
1821177,23400,2025-03-16 13:30:00,6,15,13,2,0,FT
1821181,23400,2025-03-16 19:00:00,6,4,18,0,3,FT
1821127,23400,2025-04-01 18:45:00,6,2,15,2,1,FT
1821139,23400,2025-04-01 19:00:00,6,20,18,1,0,FT
1821141,23400,2025-04-01 18:45:00,6,19,11,1,0,FT
1821124,23400,2025-04-02 18:45:00,6,5,16,1,2,FT
1821135,23400,2025-04-02 18:45:00,6,7,3,0,3,FT
1821158,23400,2025-04-02 19:00:00,6,17,6,1,0,FT
1821148,23400,2025-04-02 18:45:00,6,10,4,2,0,FT
1821154,23400,2025-04-02 18:45:00,6,14,1,2,1,FT
1821156,23400,2025-04-02 18:45:00,6,12,8,1,1,FT
1821144,23400,2025-04-03 19:00:00,6,9,13,1,0,FT
1821160,23400,2025-04-05 16:30:00,6,3,20,2,1,FT
1821164,23400,2025-04-05 14:00:00,6,8,7,2,1,FT
1821166,23400,2025-04-05 11:30:00,6,6,2,1,1,FT
1821170,23400,2025-04-05 14:00:00,6,16,19,1,2,FT
1821178,23400,2025-04-05 14:00:00,6,11,5,2,2,FT
1821162,23400,2025-04-06 13:00:00,6,1,9,0,0,FT
1821168,23400,2025-04-06 13:00:00,6,15,17,3,2,FT
1821174,23400,2025-04-06 15:30:00,6,18,10,0,0,FT
1821176,23400,2025-04-06 13:00:00,6,13,12,3,1,FT
1821172,23400,2025-04-07 19:00:00,6,4,14,0,3,FT
1821182,23400,2025-04-12 16:30:00,6,2,1,1,1,FT
1821184,23400,2025-04-12 14:00:00,6,7,4,2,2,FT
1821187,23400,2025-04-12 11:30:00,6,10,8,5,2,FT
1821120,23400,2025-04-12 14:00:00,6,20,6,0,1,FT
1821123,23400,2025-04-12 14:00:00,6,12,3,0,3,FT
1821185,23400,2025-04-13 13:00:00,6,9,16,2,2,FT
1821186,23400,2025-04-13 13:00:00,6,17,11,2,1,FT
1821188,23400,2025-04-13 15:30:00,6,14,18,4,1,FT
1821126,23400,2025-04-13 13:00:00,6,19,13,4,2,FT
1821180,23400,2025-04-14 19:00:00,6,5,15,1,0,FT
1821119,23400,2025-04-16 18:30:00,6,14,8,5,0,FT
1821329,23400,2025-04-19 16:30:00,6,3,14,4,1,FT
1821334,23400,2025-04-19 14:00:00,6,1,7,4,2,FT
1821337,23400,2025-04-19 14:00:00,6,8,5,0,0,FT
1821340,23400,2025-04-19 14:00:00,6,6,10,0,2,FT
1821356,23400,2025-04-19 14:00:00,6,11,12,1,1,FT
1821343,23400,2025-04-20 13:00:00,6,15,9,1,2,FT
1821346,23400,2025-04-20 13:00:00,6,16,2,0,4,FT
1821350,23400,2025-04-20 15:30:00,6,4,17,0,1,FT
1821352,23400,2025-04-20 13:00:00,6,18,19,0,1,FT
1821354,23400,2025-04-21 19:00:00,6,13,20,1,2,FT
1821368,23400,2025-04-22 19:00:00,6,10,3,2,1,FT
1821360,23400,2025-04-23 19:00:00,6,2,8,2,2,FT
1821362,23400,2025-04-26 14:00:00,6,7,11,3,2,FT
1821364,23400,2025-04-26 11:30:00,6,9,6,1,0,FT
1821371,23400,2025-04-26 14:00:00,6,14,16,3,0,FT
1821374,23400,2025-04-26 14:00:00,6,12,15,1,2,FT
1821377,23400,2025-04-26 14:00:00,6,19,4,3,0,FT
1821358,23400,2025-04-27 13:00:00,6,5,18,1,1,FT
1821366,23400,2025-04-27 15:30:00,6,17,13,5,1,FT
1821372,23400,2025-05-01 18:30:00,6,20,1,0,2,FT
1821330,23400,2025-05-02 19:00:00,6,10,19,1,0,FT
1821379,23400,2025-05-03 16:30:00,6,2,5,1,2,FT
1821381,23400,2025-05-03 11:30:00,6,3,15,1,0,FT
1821387,23400,2025-05-03 14:00:00,6,6,16,2,2,FT
1821388,23400,2025-05-03 14:00:00,6,4,12,2,0,FT
1821383,23400,2025-05-04 13:00:00,6,1,18,4,3,FT
1821335,23400,2025-05-04 13:00:00,6,7,14,1,1,FT
1821385,23400,2025-05-04 15:30:00,6,9,17,3,1,FT
1821332,23400,2025-05-04 13:00:00,6,11,13,1,1,FT
1821386,23400,2025-05-05 19:00:00,6,8,20,1,1,FT
1821338,23400,2025-05-10 16:30:00,6,5,3,0,1,FT
1821341,23400,2025-05-10 14:00:00,6,15,6,1,3,FT
1821344,23400,2025-05-10 14:00:00,6,16,1,0,1,FT
1821355,23400,2025-05-10 14:00:00,6,12,10,0,0,FT
